Kanji	On	Kun
協	kyou	–
単	tan	–
博	haku	–
印	in	shirushi
参	san	mai-ru
史	shi	–
司	shi	–
各	kaku	ono-ono
告	koku	tsu-geru
周	shuu	mawa-ri
唱	shou	tona-eru
喜	ki	yoroko-bu
器	ki	utsuwa
囲	i	kako-u
固	ko	kata-maru
型	kei	kata
堂	dou	–
塩	en	shio
士	shi	–
変	hen	ka-waru
夫	fu;fuu;bu	otto
失	shitsu	ushina-u
好	kou	su-ku;kono-mu
季	ki	–
孫	son	mago
完	kan	–
官	kan	–
害	gai	–
察	satsu	–
巣	sou	su
差	sa	–
希	ki	mare
席	seki	–
帯	tai	obi
底	tei	soko
府	fu	–
康	kou	–
建	ken	ta-teru
径	kei	–
徒	to	–
得	toku	e-ru
必	hitsu	kanara-zu
念	nen	–
愛	ai;wai	ito-shii;u-i;o-shimu;kana-shii;mana;me-deru
成	sei	na-ru
戦	sen	ikusa;tataka-u
折	setsu	o-ru
挙	kyo	a-geru
改	kai	arata-meru
救	kyuu	suku-u
敗	hai;pai	yabu-reru;ma-keru;yabu-ru
敷	fu	shi-ku
散	san	chi-ru
料	ryou	–
旗	ki	hata
昨	saku	ki;kinou
景	kei	–
最	sai	mo;motto-mo
望	bou	nozo-mu
未	mi	ima-da
末	matsu	sue
札	satsu;sa	fuda;sane;wakajini
材	zai	–
束	soku	taba;tsuka
松	shou	matsu
果	ka	ha-tasu
栄	ei	saka-eru
案	an	–
梅	bai	ume
械	kai	–
極	kyoku	kiwa-meru
標	hyou	–
機	ki	hata
欠	ketsu	ka-keru
歴	reki	–
残	zan	noko-ru
殺	satsu	koro-su
毒	doku	–
氏	shi	uji
民	min	tami
求	kyuu	moto-mu
治	chi;ji	osa-meru;nao-ru
法	hou	–
泣	kyuu	na-ku
浅	sen	asa-i
浴	yoku	abi-ru
清	sei;shou	kiyo-raka
満	man	mi-chiru
漁	ryou;gyou	asa-ru
灯	tou	hi
無	mu;bu	na-i
然	zen;nen	shika-shi
焼	shou	ya-ku
照	shou	te-rasu
熱	netsu	atsu-i
牧	boku	maki
特	toku	–
産	san	u-mu;yage
的	teki	mato
省	sho;sei	habu-ku
祝	shuku	iwa-u
票	hyou	–
種	shu	tane
積	seki	tsu-mu
競	kyou	kiso-u
笑	shou	wara-u
管	kan	kuda
節	setsu	fushi
粉	fun	ko;kona
紀	ki	–
約	yaku	–
結	ketsu	musu-bu;yu-u
給	kyuu	tama-u
続	zoku	tsudu-ku
置	chi	o-ku
老	rou	o-iru
胃	i	–
脈	myaku	–
腸	chou	–
臣	shin	–
航	kou	–
良	ryou	yo-i
芸	gei	–
芽	ga	me
英	ei	–
菜	sai	na
街	gai	machi
衣	i	koromo
要	you	i-ru
覚	kaku	obo-eru;sa-meru
観	kan	mi-ru
