Kanji	On	Kun
易	eki	yasa-shii
暴	bō	aba-ku
条	jō	-
枝	shi	eda
査	sa	-
格	kaku	-
桜	ō	sakura
検	ken	-
構	kō	kama-eru
武	bu;mu	-
比	hi	kura-beru
永	ei	naga-i
河	ka	kawa
液	eki	-
混	kon	ma-zaru
減	gen	he-ru
測	soku	haka-ru
準	jun	-
演	en	-
潔	ketsu	isagiyo-i
災	sai	wazawa-i
燃	nen	mo-eru
版	han	-
犯	han	oka-su
状	jō	-
独	doku	hito-ri
率	ritsu;sotsu	hiki-iru
現	gen	arawa-reru
留	ryū ru	todo-maru
略	ryaku	-
益	eki	-
眼	gan	me
破	ha	yabu-ru
確	kaku	tashi-ka
示	shi	shime-su
祖	so	-
禁	kin	-
移	i	utsu-ru
程	tei	hodo
税	zei	-
築	chiku	kizu-ku
精	sei	-
素	su or so	moto
経	kei;kyō	he-ru
統	tō	su-beru
絶	zetsu	ta-tsu
綿	men	wata
総	sō	-
編	hen	a-mu
績	seki	-
織	shiki	o-ru
罪	zai	tsumi
群	gun	mu-reru
義	gi	-
耕	kō	tagaya-su
職	shoku	-
肥	hi	ko-yasu
能	nō	-
興	kyō	oko-su
舌	zetsu	shita
舎	sha	-
術	jutsu	sube
衛	ei	-
製	sei	-
複	fuku	-
規	ki	-
解	ge;kai	to-ku
設	setsu	mouke-ru
許	kyo	yuru-su
証	shō	akashi
評	hyō	-
講	kō	-
謝	sha	ayama-ru
識	shiki	-
護	go	mamo-ru
豊	hō	yuta-ka
財	zai	-
貧	hin	mazushi-i
責	seki	se-meru
貸	tai	ka-su
貿	bō	-
賀	ga	-
資	shi	-
賛	san	-
質	shitsu	-
輸	yu	-
述	jutsu	no-beru
迷	mei	mayo-u
退	tai	shirizo-ku
逆	gyaku	sakara-u
造	zō	tsuku-ru
過	ka	ayama-chi
適	teki	-
酸	san	-
鉱	kō	-
銅	dō	-
銭	sen	zeni
防	bō	fuse-gu
限	gen	kagi-ru
険	ken	kewa-shii
際	sai	kiwa
雑	zatsu	-
非	hi	ara-zu
預	yo	azu-keru
領	ryō	-
額	gaku	hitai
飼	shi	ka-u
並	hei	nami;nara-bu
乱	ran	mida-reru
乳	nyū	chichi
亡	bō	na-kunaru
仁	jin	-
供	kyō;ku	tomo
俳	hai	-
値	chi	atai
傷	shō	kizu
優	yū	yasa-shii
党	tō	-
冊	satsu	-
処	sho	-
刻	koku	kiza-mu
割	katsu	wa-ru
創	sō	tsuku-ru
劇	geki	-
勤	kin	tsuto-meru
危	ki	aya-ui
卵	ran	tamago
厳	gen	kibi-shii
収	shū	osa-meru
后	gō	kisaki
否	hi	ina; iya
吸	kyū	su-u
呼	ko	yo-bu
善	zen	yo-i
困	kon	koma-ru
垂	sui	ta-reru
城	jō	shiro
域	iki	-
奏	sō	kana-deru
奮	hun	huru-u
姿	shi	sugata
存	son	-
孝	kō	-
宅	taku	ie
宇	u	-
宗	shū	sō
宙	chū	-
宝	hō	takara
宣	sen	notama-u
密	mitsu	-
寸	sun	-
専	sen	moppa-ra
射	sha	i-ru
将	shō	-
尊	son	touto-bu
就	shū	tsu-ku
尺	shaku	-
届	-	todo-ku
展	ten	-
層	sō	-
己	ko	onore
巻	kan	ma-ku
幕	maku;baku	-
干	kan	ho-su
幼	yō	osana-i
庁	chō	-
座	za	suwa-ru
延	en	no-basu
律	ritsu	-
従	jū	shitaga-u
忘	bō	wasu-reru
忠	chū	-
憲	ken	-
我	ga	ware
批	hi	-
担	tan	nina-u
拝	hai	oga-mu
拡	kaku	hiro-geru
捨	sha	su-teru
探	tan	saga-su
推	sui	-
揮	ki	-
操	sō	ayatsu-ru
敬	kei	uyama-u
映	ei	utsu-ru
晩	ban	-
暖	dan	atata-kai
暮	bo	ku-rasu
朗	rō	hoga-raka
机	ki	tsukue
枚	mai	-
染	sen	so-meru
株	kabu	-
棒	bō	-
模	mo;bo	-
権	ken	-
樹	ju	ki
欲	yoku	ho-shii
段	dan	-
沿	en	so-u
泉	sen	izumi
洗	sen	ara-u
派	ha	-
済	sai	su-mu
源	gen	minamoto
潮	chō	shio
激	geki	hage-shii
灰	kai	hai
熟	juku	u-reru
片	hen	kata
班	han	-
異	i	koto-naru
疑	gi	utaga-u
痛	tsū	ita-i
皇	kō	ō
盛	sei	mo-ru
盟	mei	-
看	kan	-
砂	sa	sha;suna
磁	ji	-
私	shi	watakushi;watashi
秘	hi	-
穀	koku	-
穴	ketsu	ana
窓	sō	mado
筋	kin	suji
策	saku	-
簡	kan	-
糖	tō	-
系	kei	-
紅	kō	beni;kurenai
納	nō	osa-meru
純	jun	-
絹	ken	kinu
縦	ju	tate
縮	shuku	chidi-mu
署	sho	-
翌	yoku	-
聖	sei	-
肺	hai	-
背	hai	se
胸	kyō	mune
脳	nō	-
腹	fuku	hara
臓	zō	-
臨	rin	nozo-mu
至	shi	ita-ru
若	jaku	waka-i
著	cho	arawa-su;ichijiru-shii
蒸	jō	mu-su
蔵	zō	kura
蚕	san	kaiko
衆	shū	-
裁	sai	saba-ku
装	sō;shō	yosoo-u
裏	ri	ura
補	ho	ogina-u
視	shi	mi-ru
覧	ran	-
討	tō	u-tsu
訪	hō	otozu-reru
訳	yaku	wake
詞	shi	kotoba
誌	shi	-
認	nin	mito-meru
誕	tan	-
誠	sei	makoto
誤	go	ayama-ru
論	ron	-
諸	sho	moro
警	kei	-
貴	ki	-
